Task ID,Start date ('YYYY-MM-DD'),End date  ('YYYY-MM-DD'),Start date since project start ,End date since project start 
588,'2016-10-31','2017-03-24',426,570
589,'2016-10-31','2017-02-24',426,542
590,'2016-10-31','2016-11-25',426,451
591,'2017-01-30','2017-07-27',517,695
592,'2016-10-31','2016-12-23',426,479
593,'2017-03-29','2017-04-20',575,597
594,'2017-04-21','2017-05-05',598,612
595,'2017-05-08','2017-05-19',615,626
596,'2016-10-03','2016-10-03',398,398
597,'2017-01-03','2017-05-31',490,638
598,'2016-10-03','2016-10-07',398,402
599,'2017-02-01','2017-06-14',519,652
601,'2016-11-28','2016-11-28',454,454
602,'2016-11-28','2016-12-02',454,458
603,'2017-06-23','2017-06-23',661,661
605,'2017-01-03','2017-01-27',490,514
606,'2017-01-30','2017-02-24',517,542
607,'2017-02-27','2017-03-31',545,577
608,'2017-04-03','2017-04-28',580,605
609,'2017-05-02','2017-05-26',609,633
610,'2017-01-03','2017-01-27',490,514
611,'2017-01-30','2017-02-24',517,542
612,'2017-02-27','2017-03-31',545,577
613,'2017-04-03','2017-04-28',580,605
614,'2017-05-02','2017-05-26',609,633
615,'2017-05-30','2017-06-30',637,668
616,'2017-01-03','2017-01-27',490,514
617,'2017-01-30','2017-02-24',517,542
618,'2017-02-27','2017-03-31',545,577
619,'2017-04-03','2017-04-28',580,605
620,'2017-05-02','2017-05-26',609,633
621,'2017-05-30','2017-06-30',637,668
622,'2017-01-03','2017-01-27',490,514
623,'2017-01-30','2017-02-24',517,542
624,'2017-02-27','2017-03-31',545,577
625,'2017-04-03','2017-04-28',580,605
626,'2017-05-02','2017-05-26',609,633
627,'2017-05-30','2017-06-30',637,668
628,'2017-01-03','2017-01-27',490,514
629,'2017-01-30','2017-02-24',517,542
630,'2017-02-27','2017-03-31',545,577
631,'2017-04-03','2017-04-28',580,605
632,'2017-05-02','2017-05-26',609,633
633,'2017-05-30','2017-06-30',637,668
634,'2017-01-03','2017-01-27',490,514
635,'2017-01-30','2017-02-24',517,542
636,'2017-02-27','2017-03-31',545,577
637,'2017-04-03','2017-04-28',580,605
638,'2017-05-02','2017-05-26',609,633
639,'2017-05-30','2017-06-30',637,668
640,'2017-01-03','2017-01-27',490,514
641,'2017-01-30','2017-02-24',517,542
642,'2017-02-27','2017-03-31',545,577
643,'2017-04-03','2017-04-28',580,605
644,'2017-05-02','2017-05-26',609,633
645,'2017-05-30','2017-06-30',637,668
646,'2017-01-03','2017-01-27',490,514
647,'2017-01-30','2017-02-24',517,542
648,'2017-02-27','2017-03-31',545,577
649,'2017-04-03','2017-04-28',580,605
650,'2017-05-02','2017-05-26',609,633
651,'2017-05-30','2017-06-30',637,668
652,'2017-01-03','2017-01-27',490,514
653,'2017-01-30','2017-02-24',517,542
654,'2017-02-27','2017-03-31',545,577
655,'2017-04-03','2017-04-28',580,605
656,'2017-05-02','2017-05-26',609,633
657,'2017-05-30','2017-06-30',637,668
658,'2017-01-03','2017-01-27',490,514
659,'2017-01-30','2017-02-24',517,542
660,'2017-02-27','2017-03-31',545,577
661,'2017-04-03','2017-04-28',580,605
662,'2017-05-02','2017-05-26',609,633
663,'2017-05-30','2017-06-30',637,668
665,'2017-01-03','2017-01-27',490,514
666,'2017-01-30','2017-02-24',517,542
667,'2017-02-27','2017-03-31',545,577
668,'2017-04-03','2017-04-28',580,605
669,'2017-05-02','2017-05-26',609,633
670,'2017-05-30','2017-06-30',637,668
671,'2017-01-03','2017-01-27',490,514
672,'2017-01-30','2017-02-24',517,542
673,'2017-02-27','2017-03-31',545,577
674,'2017-04-03','2017-04-28',580,605
675,'2017-05-02','2017-05-26',609,633
676,'2017-05-30','2017-06-30',637,668
677,'2017-01-03','2017-01-27',490,514
678,'2017-01-30','2017-02-24',517,542
679,'2017-02-27','2017-03-31',545,577
680,'2017-04-03','2017-04-28',580,605
681,'2017-05-02','2017-05-26',609,633
682,'2017-05-30','2017-06-30',637,668
684,'2017-01-03','2017-01-27',490,514
685,'2017-01-30','2017-02-24',517,542
686,'2017-02-27','2017-03-31',545,577
687,'2017-04-03','2017-04-28',580,605
688,'2017-05-02','2017-05-26',609,633
689,'2017-05-30','2017-06-30',637,668
690,'2017-01-03','2017-01-27',490,514
691,'2017-01-30','2017-02-24',517,542
692,'2017-02-27','2017-03-31',545,577
693,'2017-04-03','2017-04-28',580,605
694,'2017-05-02','2017-05-26',609,633
695,'2017-05-30','2017-06-30',637,668
696,'2017-01-03','2017-01-27',490,514
697,'2017-01-30','2017-02-24',517,542
698,'2017-02-27','2017-03-31',545,577
699,'2017-04-03','2017-04-28',580,605
700,'2017-05-02','2017-05-26',609,633
701,'2017-05-30','2017-06-30',637,668
702,'2017-01-03','2017-01-27',490,514
703,'2017-01-30','2017-02-24',517,542
704,'2017-02-27','2017-03-31',545,577
705,'2017-04-03','2017-04-28',580,605
706,'2017-05-02','2017-05-26',609,633
707,'2017-05-30','2017-06-30',637,668
708,'2017-01-03','2017-01-27',490,514
709,'2017-01-30','2017-02-24',517,542
710,'2017-02-27','2017-03-31',545,577
711,'2017-04-03','2017-04-28',580,605
712,'2017-05-02','2017-05-26',609,633
713,'2017-05-30','2017-06-30',637,668
716,'2017-01-03','2017-01-27',490,514
717,'2017-01-30','2017-02-24',517,542
718,'2017-02-27','2017-03-31',545,577
